Question,Answer,Category,FilePath
What is the duration of the MLT program and when does the program usually start and end?,"The MLT program lasts two years (24 months), beginning in late August and typically finishing in early August of the second year. The program incorporates two summers dedicated to research, separated by short breaks.",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/program_info_MasterofLanguageTechnologies.txt
"How many course units must MLT students complete, and what percentage needs to be LTI or SCS courses?","MLT students are required to complete at least 120 course units, ensuring that 72 units are from LTI courses and 24 units are from School of Computer Science (SCS) courses.",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/program_info_MasterofLanguageTechnologies.txt
"What kinds of courses should applicants be familiar with before enrolling in the MLT program, and what are the typical durations of these courses?","It's beneficial for applicants to have prior knowledge of programming and data structures. Courses vary in length, ranging from 6-unit labs to 12-unit lectures.",Admissions,Academics_data/Documents/program_info_MasterofLanguageTechnologies/program_info_MasterofLanguageTechnologies.txt
"What choices do students have apart from LTI courses, and are there restrictions on selecting courses outside of CMU or Pitt?","Remaining course units can come from other departments at CMU or Pitt, granted the faculty advisor provides approval. Choosing non-approved courses may pose challenges in satisfying program requirements.",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/program_info_MasterofLanguageTechnologies.txt
"Why is directed research significant in the MLT program, and what assistance do students receive throughout this stage?","Directed research plays a vital role in acquiring practical experience and advancing language technology research. Throughout their studies, MLT students collaborate with faculty advisors to investigate topics in depth.",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/program_info_MasterofLanguageTechnologies.txt
"Do MLT students have the option to author a thesis, and where can guidelines for composing this thesis be obtained?","Yes, MLT students can elect to create an optional thesis for extra research practice. Complete instructions for crafting the thesis can be discovered in the MLT Handbook.",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/program_info_MasterofLanguageTechnologies.txt
What courses are taught during the Fall semester of the first year in the Master of Language Technologies program?,"Grammars and Lexicons, Algorithms for NLP, Directed Study",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/Curriculum_Table_MasterofLanguageTechnologies.csv
What courses are taught during the Spring semester of the first year in the Master of Language Technologies program?,"Search Engines or Machine Learning for Text Mining, Machine Translation, Self-Paced Lab, Directed Study",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/Curriculum_Table_MasterofLanguageTechnologies.csv
What courses are taught during the Summer term of the first year in the Master of Language Technologies program?,Required Research,Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/Curriculum_Table_MasterofLanguageTechnologies.csv
What courses are taught during the Fall semester of the second year in the Master of Language Technologies program?,"Software Engineering for LT (I), Speech Understanding, Self-Paced Lab, Directed Study",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/Curriculum_Table_MasterofLanguageTechnologies.csv
What courses are taught during the Spring semester of the second year in the Master of Language Technologies program?,"Software Engineering for LT (II), Directed Study, Elective",Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/Curriculum_Table_MasterofLanguageTechnologies.csv
What courses are taught during the Summer term of the second year in the Master of Language Technologies program?,Required Research,Academics,Academics_data/Documents/program_info_MasterofLanguageTechnologies/Curriculum_Table_MasterofLanguageTechnologies.csv
What is the Master of Science in Artificial Intelligence and Innovation (MSAII) program?,"The MSAII is a master's program that combines artificial intelligence and machine learning curricula with real-world team experience in identifying AI market niches and developing products. The program focuses on intrapreneurship and entrepreneurship and leads to a capstone project, equipping graduates to begin startups or develop new organizations within established companies.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
Who is eligible to apply for the MSAII program?,"Generally, students holding undergraduate degrees in computer science, software engineering, bioinformatics, or bioengineering are eligible to apply.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
What are the requirements to earn the MSAII degree?,"To earn the MSAII degree, students must pass courses in the Core Curriculum, the Knowledge Requirements, and Electives, culminating in a capstone project. In total, students will complete 195 eligible units of study, including 84 units of Core Curriculum, 72 units of Knowledge Requirements, at least 36 units of approved Electives, and the LTI Practicum.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
What does the Core Curriculum cover in the MSAII program?,"The Core Curriculum is a five-course sequence covering the four main phases of innovation development, including 11-651 Artificial Intelligence and Future Markets, 17-762 Law of Computer Technology, 11-695 AI Engineering, 11-654 AI Innovation, and 11-699 Capstone Project.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
What are the Knowledge Requirements for the MSAII program?,"The Knowledge Requirements comprise six rigorous courses ensuring students can develop advanced AI applications, such as 11-601 Coding Bootcamp, 10-601 Machine Learning, 10-605 Machine Learning with Large Datasets, 11-611 Natural Language Processing, an AI-, NLP-, or ML-related course, and 11-785 Deep Learning.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
What is the LTI Practicum in the MSAII program?,"The LTI Practicum is a 3-unit requirement associated with the summer internship, giving students industry experience.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
What are the Elective options for the MSAII program?,"Students must take at least three 12-unit elective courses from the approved list, which covers various AI, NLP, ML, cybersecurity, database management, cloud computing, and biomedical topics.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
Do students need to complete an internship in the MSAII program?,"Yes, every student is required to complete an industry internship during the summer between the first spring and second fall semesters.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
Can students take any course for elective credit in the MSAII program?,Only with the permission of the MSAII director can students take courses other than the approved electives for elective credit.,Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
Are there any preparatory classes for the MSAII program?,"Historically, students benefit from passing the undergraduate course 15-513 Introduction to Computer Systems before starting the program. Though not counted towards the 192 eligible units, failing this course results in taking 15-213 Introduction to Computer Systems instead.",Academics,Academics_data/Documents/program_info_MasterofScienceinArtificialIntelligenceandInnovation/program_info_MasterofScienceinArtificialIntelligenceandInnovation.txt
What is the Master's in Intelligent Information Systems (MIIS) program focused on?,"The MIIS program concentrates on recognizing and extracting meaning from text, spoken language, and video, with extensive coverage of content analysis and machine learning.",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/program_info_MasterofScienceinIntelligentInformationSystems.txt
What kind of practical experience does the MIIS program offer?,MIIS students gain practical experience through software development under the supervision of their advisor (equivalent to 24 units or two courses); a summer internship (optional for those with sufficient prior professional experience); and a capstone project executed in collaboration with peers (equivalent to 42 units or three 12-unit courses and one 6-unit course).,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/program_info_MasterofScienceinIntelligentInformationSystems.txt
Which tracks are available for the MIIS program?,"The MIIS program is offered in two options: Option 1. Standard MIIS degree (MIIS-16), a 16-month track, and Option 2. MIIS: Advanced Study degree (MIIS-21), a 21-month track.",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/program_info_MasterofScienceinIntelligentInformationSystems.txt
How many examples of course schedules are provided for the MIIS-16 and MIIS-21?,"Three examples of course schedules are provided for each track: MIIS-16 Example Course of Studies #1, #2, and #3, and MIIS-21 Example Course of Studies #1, #2, and #3.",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/program_info_MasterofScienceinIntelligentInformationSystems.txt
What is the difference in the number of courses and unit requirements between MIIS-16 and MIIS-21 students?,"MIIS-16 students must take at least 84 units (typically 7 courses), while MIIS-21 students need to complete at least 108 units (typically 9 courses) to satisfy their degree requirements. Both sets of requirements aim to fulfill breadth requirements in human language, machine learning, and language technology applications.",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/program_info_MasterofScienceinIntelligentInformationSystems.txt
Does the MIIS program offer a part-time education option?,"Part-time education might be available in certain cases, but the handbook recommends checking with the appropriate office for eligibility and availability.",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/program_info_MasterofScienceinIntelligentInformationSystems.txt
Where can I find more information regarding requirements and curriculum for the MIIS program?,"Refer to the MIIS Handbook for a full list of requirements, a complete breakdown of curriculum, and concentrated area requirements.",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/program_info_MasterofScienceinIntelligentInformationSystems.txt
What are the courses in Fall 1 for the MS in Intelligent Information Systems?,"Machine Learning, Search Engines, and Directed Study",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS1.csv
What are the courses in Fall 2 for the MS in Intelligent Information Systems?,"Design and Engineering of Intelligent Systems, Language and Statistics, and Natural Language Processing",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS1.csv
What are the courses in Spring for the MS in Intelligent Information Systems?,"Question Answering, Directed Study, and MIIS Capstone Planning Seminar",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS1.csv
What are the courses in Summer for the MS in Intelligent Information Systems?,"Internship, Machine Learning for Text Mining, and MIIS Capstone Project",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS1.csv
What are the courses in Fall 1 for the alternative MS in Intelligent Information Systems?,"Machine Learning, Algorithms for NLP, and Speech Recognition and Understanding",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS2.csv
What are the courses in Fall 2 for the alternative MS in Intelligent Information Systems?,"Applied Machine Learning, Competitive Engineering, and Design and Implementation of Speech Recognition Systems",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS2.csv
What are the courses in Spring for the alternative MS in Intelligent Information Systems?,Directed Study and MIIS Capstone Planning Seminar,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS2.csv
What are the courses in Summer for the alternative MS in Intelligent Information Systems?,"Internship, Conversational Interfaces, and MIIS Capstone Project",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS2.csv
What are the courses in Fall 1 for the third MS in Intelligent Information Systems variant?,"Search Engines, Analysis of Social Media, Design and Engineering of Intelligent Systems, and Directed Study",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS3.csv
What are the courses in Spring for the third MS in Intelligent Information Systems variant?,"Machine Learning, Natural Language Processing, Question Answering, and Directed Study",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS3.csv
What are the courses in Summer for the third MS in Intelligent Information Systems variant?,"Academic Research Practices and Scientific Communities, and MIIS Capstone Project",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS3.csv
What are the courses in Fall 1 for the fourth MS in Intelligent Information Systems variation?,"Search Engines, Algorithms for NLP, Intro to ML (MLD), and MIIS Directed Study",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS4.csv
What are the courses in Fall 2 for the fourth MS in Intelligent Information Systems variation?,Question Answering and Intro to Deep Learning,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS4.csv
What are the courses in Spring 1 for the fourth MS in Intelligent Information Systems variation?,MIIS Capstone Planning Seminar and MIIS Directed Study,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS4.csv
What are the courses in Spring 2 for the fourth MS in Intelligent Information Systems variation?,Internship and MIIS Capstone Project,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS4.csv
What are the courses in Summer for the fourth MS in Intelligent Information Systems variation?,"Applied ML, ML for Text Mining, ML for Signal Processing, and Elective",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS4.csv
What are the courses in Fall 1 for the fifth MS in Intelligent Information Systems layout?,"Search Engines, Algorithms for NLP, Intro to ML (MLD), and MIIS Directed Study",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS5.csv
What are the courses in Fall 2 for the fifth MS in Intelligent Information Systems layout?,Question Answering and Intro to Deep Learning,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS5.csv
What are the courses in Spring 1 for the fifth MS in Intelligent Information Systems layout?,MIIS Capstone Planning Seminar and MIIS Directed Study,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS5.csv
What are the courses in Spring 2 for the fifth MS in Intelligent Information Systems layout?,Internship and MIIS Capstone Project,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS5.csv
What are the courses in Summer for the fifth MS in Intelligent Information Systems layout?,"Machine Translation, Comp Semantics for NLP, Neural Networks for NLP, and Elective",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS5.csv
What are the courses in Fall 1 for the sixth MS in Intelligent Information Systems configuration?,"Natural Language Processing, Algorithms for NLP, Intro to ML (MLD), and MIIS Directed Study",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS6.csv
What are the courses in Fall 2 for the sixth MS in Intelligent Information Systems configuration?,Question Answering and Intro to Deep Learning,Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS6.csv
What are the courses in Spring 1 for the sixth MS in Intelligent Information Systems configuration?,"Language and Statistics, Comp Semantics for NLP, and MIIS Capstone Planning Seminar",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS6.csv
What are the courses in Spring 2 for the sixth MS in Intelligent Information Systems configuration?,"MIIS Directed Study, Internship, and MIIS Capstone Project",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS6.csv
What are the courses in Summer for the sixth MS in Intelligent Information Systems configuration?,"ML for Signal Processing, and Elective",Academics,Academics_data/Documents/program_info_MasterofScienceinIntelligentInformationSystems/Curriculum_Table_MasterofScienceinIntelligentInformationSystems_EgCOS6.csv
What are the general requirements for obtaining a Ph.D. in Language and Information Technologies?,"To obtain a Ph.D. in Language and Information Technologies, you need to pass 96 units (eight courses) of graduate courses consisting of at least 72 units of LTI courses (one class per focus area) and at least 24 units of SCS courses. Two lab courses in separate research areas are also mandatory.",Requirements,Academics_data/Documents/program_info_PhDinLanguageandInformationTechnology/program_info_PhDinLanguageandInformationTechnology.txt
Could you provide an example of a five-year schedule for pursuing a Ph.D. in Language and Information Technologies?,"Here's a sample five-year schedule for a Ph.D. candidate: 
Year 1: Fall – Grammars and Lexicons, Algorithms for NLP, Directed Study, Search Engines or Machine Learning for Text Mining, Machine Translation, Directed Study, Required Research;
Year 2: Fall – Software Engineering for LT (I), Speech Understanding, Self-Paced Lab, Directed Study, Software Engineering for LT (II), Self-Paced Lab, Directed Study, Required Research;
Year 3: Directed Research, Directed Research, Directed Research;
Year 4: Directed Research, Directed Research, Directed Research;
Year 5: Directed Research, Directed Research, Directed Research.",Curriculum,Academics_data/Documents/program_info_PhDinLanguageandInformationTechnology/program_info_PhDinLanguageandInformationTechnology.txt
What are the courses for Fall semester of Year 1 in the Ph.D. in Language and Information Technologies program?,"Grammars and Lexicons, Algorithms for NLP, Directed Study",Curriculum,Academics_data/Documents/program_info_PhDinLanguageandInformationTechnology/Curriculum_Table_PhDinLanguageandInformationTechnology.csv
What are the courses for Spring semester of Year 1 in the Ph.D. in Language and Information Technologies program?,"Search Engines or Machine Learning for Text Mining, Machine Translation, Directed Study, Required Research",Curriculum,Academics_data/Documents/program_info_PhDinLanguageandInformationTechnology/Curriculum_Table_PhDinLanguageandInformationTechnology.csv
What are the courses for Fall semester of Year 2 in the Ph.D. in Language and Information Technologies program?,"Software Engineering for LT (I), Speech Understanding, Self-Paced Lab, Directed Study",Curriculum,Academics_data/Documents/program_info_PhDinLanguageandInformationTechnology/Curriculum_Table_PhDinLanguageandInformationTechnology.csv
What are the courses for Spring semester of Year 2 in the Ph.D. in Language and Information Technologies program?,"Software Engineering for LT (II), Self-Paced Lab, Directed Study, Required Research",Curriculum,Academics_data/Documents/program_info_PhDinLanguageandInformationTechnology/Curriculum_Table_PhDinLanguageandInformationTechnology.csv
"What are the courses for Years 3, 4, and 5 in the Ph.D. in Language and Information Technologies program?",Directed Research,Curriculum,Academics_data/Documents/program_info_PhDinLanguageandInformationTechnology/Curriculum_Table_PhDinLanguageandInformationTechnology.csv
